,,
"key=
",bread,パン
"key=
",corn,コーン
"key=
",macaroni,マカロニ
"key=
",pasta,パスタ
"key=
",penne,ペンネ
"key=
",potato,じゃがいも
"key=
",ramen,ラーメン
"key=
",rice,ご飯
"key=
",taro,里芋
"key=
",udon,うどん
"key=
",cheese,チーズ
"key=
",egg,卵
"key=
",firm_tofu,木綿豆腐
"key=
",milk,牛乳
"key=
",natto,納豆
"key=
",tofu,豆腐
"key=
",yogurt,ヨーグルト
"key=
",coffee,コーヒー
"key=
",juice,ジュース
"key=
",tea,お茶
"key=
",atka_mackerel,アトカサバ
"key=
",clams_asari,あさり浅利
"key=
",clams_sijimi,ハマグリSijimi
"key=
",finely_chopped_horse_mackerel,細かく刻んだマアジ
"key=
",pacific_saury,サンマ
"key=
",salmon,サーモン
"key=
",sardine,イワシ
"key=
",sashimi_tuna,刺身マグロ
"key=
",sasimi_combination,Sasimiコンビネーション
"key=
",yellowtail,ブリ
"key=
",apple,林檎
"key=
",banana,バナナ
"key=
",grape,グレープ
"key=
",grapefruit,グレープフルーツ
"key=
",kiwi,キウイ
"key=
",mandarin_orange,マンダリンオレンジ
"key=
",melon,メロン
"key=
",orange,オレンジ
"key=
",peach,桃
"key=
",pear,梨
"key=
",persimmon,柿
"key=
",pineapple,パイナップル
"key=
",strawberry,イチゴ
"key=
",watermelon,スイカ
"key=
",cake,ケーキ
"key=
",fried_chicken,唐揚げ
"key=
",grilled_chicken,焼き鳥
"key=
",gyoza,餃子
"key=
",konjac,こんにゃく
"key=
",potatochips,ポテトチップス
"key=
",seafood_mix,シーフードミックス
"key=
",bacon,ベーコン
"key=
",chicken_breast_meat,鶏の胸肉
"key=
",chicken_thigh,チキン太もも
"key=
",ground_beef_and_pork,牛ひき肉と豚肉
"key=
",ham,ハム
"key=
",hashed_pork,ハッシュ化された豚肉
"key=
",packed_beef,ランチ牛肉
"key=
",pork_ribs,ポークリブ
"key=
",salami,サラミ
"key=
",sausage,ソーセージ
"key=
",steak_beef,ステーキビーフ
"key=
",canora_oil,Canoraオイル
"key=
",mayonnaise,マヨネーズ
"key=
",olive_oil,オリーブオイル
"key=
",solt,SOLT
"key=
",soy_source,醤油ソース
"key=
",vinegar,酢
"key=
",worcester_sauce,ウスターソース
"key=
",asparagus,アスパラガス
"key=
",bean_sprouts,もやし
"key=
",bitter_gourd,ゴーヤ
"key=
",bok_choy,チンゲン菜
"key=
",broccoli,ブロッコリ
"key=
",burdock_root,ゴボウ根
"key=
",cabbage,キャベツ
"key=
",carrot,にんじん
"key=
",celery,セロリ
"key=
",cucumber,きゅうり
"key=
",egg_plant,茄子
"key=
",enoki_mushrooms,エノキ
"key=
",green_peas,グリーンピース
"key=
",green_pepper,ピーマン
"key=
",japanese_white_radish,大根
"key=
",leek,リーキ
"key=
",lettuce,レタス
"key=
",mini_tomato,ミニトマト
"key=
",onion,玉ねぎ
"key=
",pumpkin,かぼちゃ
"key=
",shiitake,しいたけ
"key=
",shimeji,しめじ
"key=
",shiso,しそ
"key=
",tomato,トマト